pH,TDS,DO,K,Na,Ca,Mg,Cl,SO4,NO3,HCO3,S34SO4,O18SO4,O18H2O,H2H2O
2.116255515,5.602118821,2.131796772,2.180417459,4.095510549,3.805550761,2.968874819,4.236278058,4.236278058,2.289499853,5.057572344,9.4,12.9,-7.1,-50.57
2.041220329,5.564520407,1.45395301,1.316408234,3.054472769,3.65790465,2.451866796,3.319263999,3.104586678,0.425267735,5.018725364,7.7,1,-9.2,-65
2.028148247,5.105945474,1.353254507,1.085189268,2.24495598,3.300271463,1.968509981,2.821378886,2.456164181,-0.287682072,4.611619567,7.1,-5.3,-9.5,-67
2.066862759,6.313548046,1.068153081,1.785070481,4.049172844,4.372607413,3.252310601,4.266475482,4.183575696,-0.287682072,5.740953754,8.3,0.8,-8.2,-59
2.066862759,6.65415252,1.291983682,1.774952351,4.10346947,4.354783898,3.238678452,4.26703657,4.223323943,1.859418118,5.688654255,8.3,0.4,-8.1,-58
2.091864062,6.49677499,1.508511994,1.771556762,4.254335299,4.556295018,3.468544455,4.475630815,4.325059379,-0.328504067,5.915816566,7.9,2.6,-7.8,-55
2.104134154,6.350885717,1.840549633,1.961502244,4.318953706,4.214199524,3.258481079,4.382026635,4.390614652,2.228938553,5.640535007,8.9,4.7,-8.1,-59
2.066862759,6.440946541,1.534714366,1.654411278,4.10660246,4.49925396,3.384051223,4.375505418,4.200804473,-0.356674944,5.866491499,8.1,5.2,-7.8,-55
2.041220329,6.186208624,1.085189268,2.014903021,4.146462516,3.998200702,2.955430977,4.153556422,4.422808628,1.728109442,5.409880928,7.5,6.3,-9,-64
2.066862759,6.214608098,1.470175845,1.954445052,4.136605521,4.10148567,2.998229154,4.209160237,4.301629698,-0.116533816,5.478430241,8.2,5,-8.6,-62
2.151762203,6.723832441,2.587764035,2.141241943,4.742755849,4.606569207,3.665098925,4.730039168,4.767884096,3.096934154,6.042472774,8.5,6.6,-8.1,-57
2.041220329,6.118097198,0.727548607,1.930071085,4.042700329,4.092509546,2.894253105,4.122770036,4.239454497,1.591273942,5.355197601,9.3,4.5,-8.7,-63
2.104134154,6.12905021,1.773255998,1.968509981,4.030872139,3.965942847,2.932259851,4.085135623,4.406109305,-0.494296322,5.282349868,9.9,4,-8,-59
